,summary,finalRatingStatus
171502,"While she did have a franchise to run a cafe in the Jewish hospital, the woman in the picture is herself not Jewish, as the OP is implying. Her franchise has since been reported to have been terminated.    https://www.cbc.ca/news/canada/montreal/second-cup-montreal-franchisee-1.7392084    https://www.linkedin.com/mwlite/feed/posts/stevefelder_note-to-mai-abdulhadi-its-generally-not-activity-7266237670429749248-QMiE    https://x.com/berylwajsman/status/1860727028275728385?t=yWZdcpmfNzq_ySq4IQOVng&amp;s=19",CURRENTLY_RATED_HELPFUL
77516,This screenshot is from an event that took place on 17 Oct 2023 when German delegation visited Israel.    https://www.timesofisrael.com/liveblog_entry/scholz-forced-to-lie-on-ground-at-airport-as-air-raid-siren-sounds-while-boarding-plane/    https://x.com/sara__si/status/1714363378708148588?s=20,CURRENTLY_RATED_HELPFUL
38225,As seen in the video the policeman is Mexican not British.    He is wearing a Mexican flag arm patch.    https://youtu.be/o5ngTtPaZKk?si=jmnkq8lzm3QezMAq,CURRENTLY_RATED_HELPFUL
46257,1.  The Rolling Stones have not added Israel to their current tour schedule: https://t.co/WPP4TkISK0  2. The quote attributed to Mick Jagger is an old fake. Here it is being debunked in 2014: https://honestreporting.com/mick-jaggers-false-quote-spreads-through-social-media/,CURRENTLY_RATED_HELPFUL
70856,This ad has nothing to do with Palestinians. It’s an inside joke.     https://www.el-shai.com/kfcs-no-tents-just-chicken-boycott/,CURRENTLY_RATED_HELPFUL
49753,"This video was taken in August 2013 in Cairo.  Known as Raba’ events, Egyptian security forces dispersed two camps of protesters in Cairo.    Original video:    https://www.youtube.com/watch?v=DH-TkZTcwEk    More information about the massacre:    https://en.m.wikipedia.org/wiki/Rabaa_massacre",CURRENTLY_RATED_HELPFUL
78613,Angelina Jolie never said this. This quote is fake. https://www.snopes.com/fact-check/jolie-terrorists-israel-quote/,CURRENTLY_RATED_HELPFUL
41129,"The first IDF post was deleted and reuploaded with the laptop screen blurred.     The Facebook account shown belongs to a different Israeli woman with the same name, as can be seen in Ynet's article linked below.     Pvt. Megidish was confirmed to be rescued on 30th Oct.      https://www.ynet.co.il/news/article/skuheccgp   https://amp.cnn.com/cnn/2023/10/31/middleeast/idf-ori-megidish-rescue-hamas-hostage-intl-hnk/index.html   https://www.bbc.co.uk/news/world-middle-east-67267585.amp ",CURRENTLY_RATED_HELPFUL
36870,"Although there are several American hostages being held by Hamas, the 500 the Senator is speaking of are US citizens that live in Gaza and are thus stuck there due to the conflict. They are not included in the Hamas hostage count.     https://www.cbsnews.com/amp/news/israel-hamas-war-gaza-americans-trapped-families-scared-and-betrayed/  ",CURRENTLY_RATED_HELPFUL
40710,"The tunnel in the picture is not the actual tunnels being referenced in the article. This picture has been used on multiple occasions when referencing tunnels from Gaza since 2014. It is not clear where the picture was actually taken, but the source links to Reuters.    https://www.aljazeera.com/features/2014/3/31/gaza-tunnel-closures-add-to-economic-crisis  https://m.jpost.com/breaking-news/report-material-for-gaza-reconstruction-diverted-to-hamas-for-tunnel-reparations-385178  https://m.jpost.com/opinion/on-my-mind-gazas-tunnels-513548",CURRENTLY_RATED_HELPFUL
